#Daily and Multi-day air quality monitoring data
#Measured data - All Data are GMT hour ending
#Data for year 2016
#"Multi-day data",,
#London Westminster,,
Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
25/08/2017,20/09/2017,0.782,V ngm-3,0.1472,V ngm-3,0.085,V ngm-3,<1.8,V ngm-3,15.22,V ngm-3,465.8,V ngm-3,,,5.495,V ngm-3,0.678,V ngm-3,7.41,V ngm-3,<0.4,V ngm-3,0.539,V ngm-3,23.08,V ngm-3,
13/09/2017,11/10/2017,,,,,,,,,,,,,2.13,V ngm-3,,,,,,,,,,,,,
20/09/2017,19/10/2017,0.838,V ngm-3,0.1491,V ngm-3,0.108,V ngm-3,<1.2,V ngm-3,14.52,V ngm-3,451.4,V ngm-3,,,5.748,V ngm-3,0.859,V ngm-3,7.12,V ngm-3,<0.52,V ngm-3,1.078,V ngm-3,18.58,V ngm-3,
11/10/2017,09/11/2017,,,,,,,,,,,,,3.02,V ngm-3,,,,,,,,,,,,,
19/10/2017,16/11/2017,1.967,V ngm-3,0.2331,V ngm-3,0.097,V ngm-3,<2,V ngm-3,22.94,V ngm-3,540.9,V ngm-3,,,6.181,V ngm-3,0.958,V ngm-3,11.1,V ngm-3,<0.45,V ngm-3,0.698,V ngm-3,30.34,V ngm-3,
09/11/2017,08/12/2017,,,,,,,,,,,,,1.641,V ngm-3,,,,,,,,,,,,,
16/11/2017,14/12/2017,1.029,V ngm-3,0.1366,V ngm-3,0.103,V ngm-3,2.3,V ngm-3,17.95,V ngm-3,544.7,V ngm-3,,,6.04,V ngm-3,0.748,V ngm-3,9.54,V ngm-3,<0.47,V ngm-3,0.733,V ngm-3,23.37,V ngm-3,
14/12/2017,31/12/2017,0.858,V ngm-3,0.0946,V ngm-3,0.063,V ngm-3,2.6,V ngm-3,10.89,V ngm-3,362.4,V ngm-3,,,,,,,,,,,,,,,
08/12/2017,31/12/2017,,,,,,,,,,,,,1.718,V ngm-3,,,,,,,,,,,,,
14/12/2017,31/12/2017,,,,,,,,,,,,,,,3.804,V ngm-3,0.628,V ngm-3,6.44,V ngm-3,<0.39,V ngm-3,0.458,V ngm-3,15.1,V ngm-3,
#Data for year 2018
#"Multi-day data",,
#London Westminster,,
